postal_code,segment_number,segment_description,average_household_income,average_household_net_worth,home_type
M5S 1G4,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","$134,144","$988,892",Low Rise Apt / Duplex / Semi
M5V 3K1,,,,,
M6A 1P6,,,,,
M6C 2V6,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6G 1X3,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","$134,144","$988,892",Low Rise Apt / Duplex / Semi
M6G 2P9,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6G 2W8,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6R 2W7,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6S 2W5,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6S 4E7,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M6S 4L3,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M8V 1V1,36,"Diverse, middle-income, high-school-educated, urban families | Middle-Class Mosaic is a diverse blend of middle-income families living in established urban neighbourhoods. The group includes a mix of couples, lone-parent families, and larger households, with a presence of both first- and second-generation Canadians. High school and college-educated residents earn moderate incomes through blue-collar and service sector jobs. Focused on family-oriented activities, they enjoy local entertainment such as theatres and community sports events, while remaining mindful of budget-friendly options. Their emphasis on healthy living, cultural inclusion, and community participation reflects a grounded lifestyle centered on resilience, routine, and shared experiences.","$110,593","$581,073",Single Detached
M9A 3J7,4,"High-income, middle-aged, suburban families and couples | Turbo Burbs represents an affluent suburban segment, primarily consisting of middle-aged families. While this segment holds mixed occupations, they commonly report household incomes exceeding $200,000. Residents actively participate in neighbourhood initiatives, sports, and outdoor recreation. With a strong focus on ethical consumerism and ecological consciousness, this segment places importance on aligning their actions with family values and social responsibility. Their well-designed homes and outdoor spaces reflect a love for comfort and community, underscoring a lifestyle rooted in connection, balance, and purposeful living.","$227,257","$2,145,466",Single Detached
M9A 4P4,4,"High-income, middle-aged, suburban families and couples | Turbo Burbs represents an affluent suburban segment, primarily consisting of middle-aged families. While this segment holds mixed occupations, they commonly report household incomes exceeding $200,000. Residents actively participate in neighbourhood initiatives, sports, and outdoor recreation. With a strong focus on ethical consumerism and ecological consciousness, this segment places importance on aligning their actions with family values and social responsibility. Their well-designed homes and outdoor spaces reflect a love for comfort and community, underscoring a lifestyle rooted in connection, balance, and purposeful living.","$227,257","$2,145,466",Single Detached
N4K 4Z6,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
R0G 0B0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
R0G 2P0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
R2J 0N1,36,"Diverse, middle-income, high-school-educated, urban families | Middle-Class Mosaic is a diverse blend of middle-income families living in established urban neighbourhoods. The group includes a mix of couples, lone-parent families, and larger households, with a presence of both first- and second-generation Canadians. High school and college-educated residents earn moderate incomes through blue-collar and service sector jobs. Focused on family-oriented activities, they enjoy local entertainment such as theatres and community sports events, while remaining mindful of budget-friendly options. Their emphasis on healthy living, cultural inclusion, and community participation reflects a grounded lifestyle centered on resilience, routine, and shared experiences.","$110,593","$581,073",Single Detached
R2M 1S5,61,"Multi-ethnic, younger and middle-aged urban singles and families | Came From Away encompasses a culturally diverse segment largely situated in Toronto's high-rise neighbourhoods. Most residents are younger or middle-aged, foreign-born, and speak non-official languages. These singles and lone-parent families typically earn low incomes from service-sector jobs and often rent apartments. Their lifestyle leans toward health consciousness, as reflected in their active participation in fitness activities, and they frequently take advantage of affordable local offerings such as sports programs and city attractions. This segment also demonstrates strong digital engagement, frequently using mobile devices to stay connected, share interests, and access information - reflecting a socially connected, resourceful, and city-savvy way of life.","$80,926","$225,766",Apt 5+
R2N 0J1,5,"Large, high-income, middle-aged, suburban families | First-Class Families represent an affluent suburban segment centred in family life. Most live in spacious, single-detached homes, often with four or more family members. With household incomes well over $200,000, these families are actively involved in a range of recreational activities, especially team sports and local events. Technologically savvy, they value quality, reliability, and experiences that foster togetherness and social connection. Their inclination toward leaving a legacy underscores a strong focus on heritage, long-term planning, and shaping a meaningful future.","$226,703","$1,738,429",Single Detached
R3G 1X2,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","$134,144","$988,892",Low Rise Apt / Duplex / Semi
R3G 2C3,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","$134,144","$988,892",Low Rise Apt / Duplex / Semi
R3J 2G2,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R3K 2E3,52,"Young, culturally diverse singles in urban households | Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.","$85,044","$340,098",Apartments
R3M 3P6,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
R3N 0S3,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
R3N 1N7,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R3N 1S1,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R3P 2A6,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
R3R 0B7,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
R3V 1W9,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
R5M 0G1,14,"Rural, middle-aged and older couples and families | Kick-Back Country is a high-income segment of middle-aged and older families found primarily in the rural areas of Ontario and Alberta. Homeownership is remarkably high, with most residents living in spacious single-detached houses. This segment has strong participation in outdoor and local activities, including sports events and adventure sports. Values such as a strong work ethic, national pride, and ecological consciousness are paramount, shaping their preference for quality and sustainability. Their connection to nature plays a central role in how they spend their time and define a fulfilling life.","$162,652","$1,423,912",Single Detached
T3A 0P8,36,"Diverse, middle-income, high-school-educated, urban families | Middle-Class Mosaic is a diverse blend of middle-income families living in established urban neighbourhoods. The group includes a mix of couples, lone-parent families, and larger households, with a presence of both first- and second-generation Canadians. High school and college-educated residents earn moderate incomes through blue-collar and service sector jobs. Focused on family-oriented activities, they enjoy local entertainment such as theatres and community sports events, while remaining mindful of budget-friendly options. Their emphasis on healthy living, cultural inclusion, and community participation reflects a grounded lifestyle centered on resilience, routine, and shared experiences.","$110,593","$581,073",Single Detached
T3Z 0A5,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
T4N 5G1,57,"Younger, urban service sector and blue collar singles | Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","$103,378","$415,686",Mixed
T6A 1T5,23,"Older, urban, middle-income families and couples | Mid-City Mellow is a segment composed mainly of long-term residents, including older couples and middle-aged families, found in city neighbourhoods. They earn stable, mid-level incomes and typically live in single-detached homes, enjoying comfortable lifestyles supported by moderate discretionary spending. Residents often seek opportunities to be active in their communities and are drawn to nearby theatre and sporting events. This segment shows a strong appreciation for community traditions and local engagement, reflecting a steady, grounded lifestyle shaped by familiarity, routine, and cultural connection.","$139,391","$973,823",Single Detached
T6E 2E9,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","$134,144","$988,892",Low Rise Apt / Duplex / Semi
T8N 3R7,19,"Suburban, financially comfortable, middle-aged families | Family Mode, found in suburban neighbourhoods, represents comfortable, blue-collar households with upper-middle incomes. These large, middle-aged families typically live in owned single-detached homes. Members of this segment value personal responsibility and maintain a strong sense of control over their financial situation. Their leisure time often involves attending local sporting events, arts festivals, and dining at family-friendly restaurants, reflecting a shared focus on creating meaningful experiences together. With high participation in cultural and sports activities, this segment is grounded in family values, routine, and an active, experience-rich lifestyle.","$169,981","$1,032,934",Single Detached
V0N 2W2,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0A 1H0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0B 1M0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0E 1M0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0E 2S0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0E 2S1,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0K 1V0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0N 1B0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0N 1G0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0N 1G1,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0N 1G2,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V0X 1W0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V1L 0A2,62,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","$95,199","$461,727",Single Detached / Low Rise Apt
V1L 3Z7,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V1W 3B4,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V1W 4K6,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V2A 1R6,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V2P 3M8,25,"Upper-middle income, younger and middle-aged suburbanites | Suburban Sports Enthusiasts represent a dynamic segment of younger and middle-aged families, predominantly residing in suburban single-detached homes across Canada. With a mix of educational backgrounds - many focused on trade schools - residents often work in service or blue-collar occupations, earning upper-middle incomes. This group frequently participates in sports like hockey and enjoys a range of outdoor hobbies, blending an active lifestyle with activities that suit all members of the family. They value stability and traditional norms, often showing resistance to rapid technological change. Their lifestyle is grounded in routine, hands-on engagement, and a strong commitment to family and local life.","$146,623","$916,822",Single Detached
V3H 1L4,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
V4A 9E3,,,,,
