postal_code,segment_number,segment_name,segment_description,who_they_are,average_household_income,education,urbanity,average_household_net_worth,occupation,diversity,family_life,tenure,home_type,status,confirmed,cached_at,expires_at
V8W 1E2,,,,,,,,,,,,,,error,0,2025-09-10 04:38:27,2025-12-08 21:38:27.235700
V8W 3S3,52,Friends & Roomies,"Young, culturally diverse singles in urban households | Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.","Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.",85044,University / High School / Grade 9,Urban,340098,Mixed,High,Singles,Rent,Apartments,success,0,2025-09-10 04:38:51,2025-12-08 21:38:51.472526
V8X 0A6,7,Mature & Secure,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.",197408,University,Urban Fringe,2154011,White Collar / Service Sector,Medium,Families / Couples,Own,Single Detached,success,0,2025-09-10 04:39:15,2025-12-08 21:39:15.160510
V8X 3L7,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-10 04:39:38,2025-12-08 21:39:38.817606
V8X 3S8,2,Wealthy & Wise,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.",284106,University,Urban,3581482,White Collar,Low,Families / Couples,Own,Single Detached,success,0,2025-09-10 04:40:02,2025-12-08 21:40:02.597639
V8Y 1W9,9,Boomer Bliss,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",163097,University / College,Suburban,1513488,White Collar / Service Sector,Low,Couples / Families,Own,Single Detached,success,0,2025-09-10 04:40:26,2025-12-08 21:40:26.237944
V8Y 2K1,9,Boomer Bliss,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",163097,University / College,Suburban,1513488,White Collar / Service Sector,Low,Couples / Families,Own,Single Detached,success,0,2025-09-10 04:40:49,2025-12-08 21:40:49.945227
V8Z 4P5,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-10 04:41:13,2025-12-08 21:41:13.679000
V8Z 5N3,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-10 04:41:37,2025-12-08 21:41:37.483512
V8Z 6K5,9,Boomer Bliss,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",163097,University / College,Suburban,1513488,White Collar / Service Sector,Low,Couples / Families,Own,Single Detached,success,0,2025-09-10 04:42:01,2025-12-08 21:42:01.126540
V8S 4Z2,51,On Their Own Again,"Culturally diverse, city seniors in apartment rentals | On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.",85103,Mixed,Urban,583438,White Collar / Service Sector,Medium,Singles,Rent,Apt 5+,success,0,2025-09-10 04:49:40,2025-12-08 21:49:40.815176
V8S 5C1,53,Silver Flats,"Older low-income suburban singles and couples | Silver Flats primarily consists of retirees, with a high proportion of residents over the age of 75. Many live in low-rise apartments and represent a budget-conscious group aiming to make the most of modest incomes, often drawn from pensions and government transfers. Preferring a balance of social and solitary activities, they enjoy affordable leisure pursuits such as reading, crafting, and attending local cultural events. Indoors, they often spend time watching their favourite TV shows or connecting with friends. Their focus on legacy planning and ecological responsibility reflects a thoughtful group deeply rooted in community values, simplicity, and long-term thinking.","Silver Flats primarily consists of retirees, with a high proportion of residents over the age of 75. Many live in low-rise apartments and represent a budget-conscious group aiming to make the most of modest incomes, often drawn from pensions and government transfers. Preferring a balance of social and solitary activities, they enjoy affordable leisure pursuits such as reading, crafting, and attending local cultural events. Indoors, they often spend time watching their favourite TV shows or connecting with friends. Their focus on legacy planning and ecological responsibility reflects a thoughtful group deeply rooted in community values, simplicity, and long-term thinking.",82197,High School / College / Grade 9,Suburban,508868,Mixed,Low,Singles / Couples,Rent,Apartments,success,0,2025-09-10 04:50:04,2025-12-08 21:50:04.578616
V8T 1A7,52,Friends & Roomies,"Young, culturally diverse singles in urban households | Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.","Friends & Roomies is a diverse segment composed primarily of younger singles, many of whom are first-generation Canadians living in urban centres. Educational backgrounds vary, and residents work across a range of service sector and white-collar jobs. Financially, this segment tends to earn lower-middle incomes, with many choosing rental living in low-rise apartments. They exhibit a strong affinity for social and cultural engagement, frequently attending music and film festivals as well as sporting events. These young experience-seekers are highly social, often spending time at bars, dance clubs, health clubs, and other affordable entertainment venues. Their lifestyles reflect a desire for connection, self-expression, and meaningful experiences grounded in values of diversity, inclusion, and sustainability.",85044,University / High School / Grade 9,Urban,340098,Mixed,High,Singles,Rent,Apartments,success,0,2025-09-10 04:50:28,2025-12-08 21:50:28.306575
V8T 2C1,32,Diverse & Determined,"Younger and middle-aged, multi-ethnic urban fringe households | Diverse & Determined represents a multicultural segment living on the urban outskirts of major Canadian cities. It includes a mix of younger singles and middle-aged families, many of whom live in multigenerational or lone-parent households. A large percentage of residents identify as visible minorities, and many speak more than one language. This segment combines a strong educational background with mid-level incomes. Housing trends favour low-rise options, such as row houses, apartments, and condos. They value cultural diversity and personal creativity, while also being mindful of affordability in their day-to-day choices. Their leisure time often involves attending sports events, music festivals, and community celebrations, reflecting a vibrant lifestyle grounded in inclusivity and local connection.","Diverse & Determined represents a multicultural segment living on the urban outskirts of major Canadian cities. It includes a mix of younger singles and middle-aged families, many of whom live in multigenerational or lone-parent households. A large percentage of residents identify as visible minorities, and many speak more than one language. This segment combines a strong educational background with mid-level incomes. Housing trends favour low-rise options, such as row houses, apartments, and condos. They value cultural diversity and personal creativity, while also being mindful of affordability in their day-to-day choices. Their leisure time often involves attending sports events, music festivals, and community celebrations, reflecting a vibrant lifestyle grounded in inclusivity and local connection.",113747,University / College / High School,Urban Fringe,568201,White Collar / Service Sector,High,Singles,Own & Rent,Row / Low Rise Apt,success,0,2025-09-10 04:50:52,2025-12-08 21:50:52.046804
V8U 3G9,,,,,,,,,,,,,,error,0,2025-09-10 04:51:10,2025-12-08 21:51:10.555928
V8V 1Z8,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-10 04:51:34,2025-12-08 21:51:34.439016
V8V 2T9,22,Indieville,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.","Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.",134144,University,Urban,988892,White Collar / Service Sector,Medium,Singles,Own & Rent,Low Rise Apt / Duplex / Semi,success,0,2025-09-10 04:51:58,2025-12-08 21:51:58.161378
V8V 4B2,7,Mature & Secure,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.",197408,University,Urban Fringe,2154011,White Collar / Service Sector,Medium,Families / Couples,Own,Single Detached,success,0,2025-09-10 04:52:21,2025-12-08 21:52:21.955480
V8V 4G7,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-10 04:52:45,2025-12-08 21:52:45.779920
V8V 4H5,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-10 04:53:09,2025-12-08 21:53:09.511121
V8S 1T2,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-10 14:46:45,2025-12-09 07:46:45.820672
V8S 1W8,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-10 14:47:11,2025-12-09 07:47:11.932637
V8S 2J3,7,Mature & Secure,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.",197408,University,Urban Fringe,2154011,White Collar / Service Sector,Medium,Families / Couples,Own,Single Detached,success,0,2025-09-10 14:47:35,2025-12-09 07:47:35.701407
V8S 3V2,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-10 14:47:59,2025-12-09 07:47:59.452528
V8S 4A2,2,Wealthy & Wise,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.",284106,University,Urban,3581482,White Collar,Low,Families / Couples,Own,Single Detached,success,0,2025-09-10 14:48:24,2025-12-09 07:48:24.141250
V8S 4M1,2,Wealthy & Wise,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.",284106,University,Urban,3581482,White Collar,Low,Families / Couples,Own,Single Detached,success,0,2025-09-10 14:48:47,2025-12-09 07:48:47.986893
V8S 4R7,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-10 14:49:12,2025-12-09 07:49:12.309120
V8S 4S3,7,Mature & Secure,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.",197408,University,Urban Fringe,2154011,White Collar / Service Sector,Medium,Families / Couples,Own,Single Detached,success,0,2025-09-10 14:49:37,2025-12-09 07:49:37.058457
